Vendor Name	ENFOUR, INC.
Start Date	09/29/2024
End Date	11/02/2024
Transaction Date	Settlement Date	Apple Identifier	SKU	Title	Developer Name	Product Type Identifier	Country of Sale	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Customer Price	Customer Currency	Sale or Return	Promo Code	Order Type	Region
10/22/2024	10/22/2024	304875834	AH_Deluxe	American Heritage® Deluxe	Enfour, Inc.	1F	DE	-1	14.28	-14.28	EUR	-19.990	EUR	R				
10/20/2024	10/20/2024	304875834	AH_Deluxe	American Heritage® Deluxe	Enfour, Inc.	1F	DE	1	14.28	14.28	EUR	19.990	EUR	S				
10/03/2024	10/03/2024	1464887377	jp.co.enfour.ldoce.lat	Longman Activator Thesaurus		IA1	DE	1	6.42	6.42	EUR	8.990	EUR	S				
10/17/2024	10/18/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	1F	EG	1	223.68	223.68	EGP	299.990	EGP	S				
11/01/2024	11/01/2024	307233030	OX_ODE_DELUXE	Oxford Deluxe (ODE and OTE)	Enfour, Inc.	1F	ES	1	14.01	14.01	EUR	19.990	EUR	S				
10/19/2024	10/19/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	F1	ES	1	21.02	21.02	EUR	29.990	EUR	S				
10/30/2024	10/30/2024	394337484	OX_ODE	Oxford Dictionary of English.	Enfour, Inc.	1F	ES	1	12.61	12.61	EUR	17.990	EUR	S				
10/25/2024	10/25/2024	394337484	OX_ODE	Oxford Dictionary of English.	Enfour, Inc.	1F	ES	1	12.61	12.61	EUR	17.990	EUR	S				
10/19/2024	10/19/2024	1464887377	jp.co.enfour.ldoce.lat	Longman Activator Thesaurus		IA1	ES	1	6.30	6.30	EUR	8.990	EUR	S				
10/12/2024	10/13/2024	289569759	LP_EWJ_1.0	Longman E-J Dictionary	Enfour, Inc.	1F	FI	1	8.80	8.80	EUR	12.990	EUR	S				
10/20/2024	10/21/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	1F	FI	1	20.31	20.31	EUR	29.990	EUR	S				
10/26/2024	10/26/2024	286861782	HMRT.1.0	Roget's II: New Thesaurus	Enfour, Inc.	1F	FR	1	4.24	4.24	EUR	5.990	EUR	S				
11/02/2024	11/02/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	1F	FR	1	21.24	21.24	EUR	29.990	EUR	S				
10/24/2024	10/24/2024	394339325	OX_OTE	Oxford Thesaurus of English.	Enfour, Inc.	1F	FR	1	7.08	7.08	EUR	9.990	EUR	S				
10/20/2024	10/20/2024	394339325	OX_OTE	Oxford Thesaurus of English.	Enfour, Inc.	1F	FR	1	7.08	7.08	EUR	9.990	EUR	S				
11/02/2024	11/02/2024	1464887377	jp.co.enfour.ldoce.lat	Longman Activator Thesaurus		IA1	FR	1	6.37	6.37	EUR	8.990	EUR	S				
10/22/2024	10/23/2024	1511912700	HANHWR	Korean Handwriting Keyboard	Enfour, Inc.	1F	FR	1	1.41	1.41	EUR	1.990	EUR	S				
09/28/2024	09/29/2024	284965601	HMAHD4.1.0	American Heritage® Dictionary	Enfour, Inc.	1F	GB	1	9.17	9.17	GBP	12.990	GBP	S				
10/21/2024	10/21/2024	316182014	N4_UD_CT	Companion Thesaurus	Enfour, Inc.	F1	GB	1	1.41	1.41	GBP	1.990	GBP	S				
10/19/2024	10/19/2024	316182014	N4_UD_CT	Companion Thesaurus	Enfour, Inc.	F1	GB	1	1.41	1.41	GBP	1.990	GBP	S				
10/20/2024	10/20/2024	316182014	N4_UD_CT	Companion Thesaurus	Enfour, Inc.	F1	GB	1	1.41	1.41	GBP	1.990	GBP	S				
10/19/2024	10/19/2024	316182014	N4_UD_CT	Companion Thesaurus	Enfour, Inc.	1F	GB	1	1.41	1.41	GBP	1.990	GBP	S				
10/30/2024	10/30/2024	316182014	N4_UD_CT	Companion Thesaurus	Enfour, Inc.	F1	GB	1	1.41	1.41	GBP	1.990	GBP	S				
10/18/2024	10/18/2024	317804594	N4_UD_SYN	Companion Synonyms	Enfour, Inc.	F1	GB	1	1.41	1.41	GBP	1.990	GBP	S				
10/21/2024	10/21/2024	317804594	N4_UD_SYN	Companion Synonyms	Enfour, Inc.	F1	GB	1	1.41	1.41	GBP	1.990	GBP	S				
10/10/2024	10/10/2024	317804594	N4_UD_SYN	Companion Synonyms	Enfour, Inc.	1F	GB	2	1.41	2.82	GBP	1.990	GBP	S				
10/13/2024	10/13/2024	1518508120	1518384123	Korean Dictionary access		IAY	GB	1	0.35	0.35	GBP	0.490	GBP	S				
09/29/2024	09/29/2024	1518508120	1518384123	Korean Dictionary access		IAY	GB	1	0.35	0.35	GBP	0.490	GBP	S				
10/22/2024	10/22/2024	1518508120	1518384123	Korean Dictionary access		IAY	GB	1	0.35	0.35	GBP	0.490	GBP	S				
10/28/2024	10/28/2024	1518508120	1518384123	Korean Dictionary access		IAY	GB	1	0.35	0.35	GBP	0.490	GBP	S				
10/04/2024	10/04/2024	1518508120	1518384123	Korean Dictionary access		IAY	GB	1	0.35	0.35	GBP	0.490	GBP	S				
10/26/2024	10/26/2024	1518508120	1518384123	Korean Dictionary access		IAY	GR	1	0.34	0.34	EUR	0.490	EUR	S				
10/06/2024	10/07/2024	286861782	HMRT.1.0	Roget's II: New Thesaurus	Enfour, Inc.	1F	HK	1	32.30	32.30	HKD	38.000	HKD	S				
10/06/2024	10/07/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	1F	HK	1	159.80	159.80	HKD	188.000	HKD	S				
10/13/2024	10/14/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	1F	HK	1	159.80	159.80	HKD	188.000	HKD	S				
10/13/2024	10/13/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	F1	HK	1	159.80	159.80	HKD	188.000	HKD	S				
10/18/2024	10/19/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	1F	HK	1	159.80	159.80	HKD	188.000	HKD	S				
10/16/2024	10/16/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	1F	HK	-1	159.80	-159.80	HKD	-188.000	HKD	R				
10/20/2024	10/20/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	1F	HK	1	159.80	159.80	HKD	188.000	HKD	S				
10/14/2024	10/15/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	1F	HK	1	159.80	159.80	HKD	188.000	HKD	S				
10/20/2024	10/21/2024	1464887377	jp.co.enfour.ldoce.lat	Longman Activator Thesaurus		IA1	HK	1	49.30	49.30	HKD	58.000	HKD	S				
10/20/2024	10/20/2024	286861782	HMRT.1.0	Roget's II: New Thesaurus	Enfour, Inc.	F1	HU	1	1332.00	1332.00	HUF	1990.000	HUF	S				
10/08/2024	10/08/2024	304875834	AH_Deluxe	American Heritage® Deluxe	Enfour, Inc.	F1	ID	1	228964.00	228964.00	IDR	299000.000	IDR	S				
10/16/2024	10/16/2024	1518508120	1518384123	Korean Dictionary access		IAY	ID	1	5360.00	5360.00	IDR	7000.000	IDR	S				
10/11/2024	10/12/2024	1518508120	1518384123	Korean Dictionary access		IAY	ID	2	5360.00	10720.00	IDR	7000.000	IDR	S				
10/08/2024	10/17/2024	1518508120	1518384123	Korean Dictionary access		IAY	ID	1	5360.00	5360.00	IDR	7000.000	IDR	S				
10/09/2024	10/09/2024	1518508120	1518384123	Korean Dictionary access		IAY	ID	1	5360.00	5360.00	IDR	7000.000	IDR	S				
10/31/2024	10/31/2024	1518508120	1518384123	Korean Dictionary access		IAY	ID	1	5360.00	5360.00	IDR	7000.000	IDR	S				
10/30/2024	10/31/2024	1518508120	1518384123	Korean Dictionary access		IAY	ID	1	5360.00	5360.00	IDR	7000.000	IDR	S				
10/07/2024	10/08/2024	1518508120	1518384123	Korean Dictionary access		IAY	ID	1	5360.00	5360.00	IDR	7000.000	IDR	S				
10/07/2024	10/07/2024	1518508120	1518384123	Korean Dictionary access		IAY	ID	1	5360.00	5360.00	IDR	7000.000	IDR	S				
09/29/2024	10/10/2024	1518508120	1518384123	Korean Dictionary access		IAY	ID	1	5360.00	5360.00	IDR	7000.000	IDR	S				
10/06/2024	10/07/2024	286861782	HMRT.1.0	Roget's II: New Thesaurus	Enfour, Inc.	1F	IN	1	359.45	359.45	INR	499.000	INR	S				
